Image,Cell,Area,Perimeter,Major_diameter,Minor_diameter,Angle,Circularity,Aspect_ratio,Round,Solidity,Budded
11,12,15.814,18.628,6.416,3.138,54.399,0.573,2.045,0.489,0.877,TRUE
11,13,16.549,20.099,7.858,2.682,147.072,0.515,2.93,0.341,0.858,TRUE
12,1,9.548,11.489,3.846,3.161,133.87,0.909,1.216,0.822,0.974,FALSE
12,2,11.783,12.782,4.077,3.68,124.985,0.906,1.108,0.903,0.973,FALSE
12,3,14.5,14.282,4.725,3.907,21.853,0.893,1.209,0.827,0.976,FALSE
12,4,9.062,11.343,3.815,3.025,31.879,0.885,1.261,0.793,0.971,FALSE
12,5,12.742,13.486,4.581,3.542,97.022,0.88,1.293,0.773,0.975,FALSE
12,6,7.584,10.661,3.911,2.469,170.264,0.838,1.584,0.631,0.966,FALSE
12,7,10.398,12.726,4.971,2.663,177.897,0.807,1.866,0.536,0.974,FALSE
12,8,17.064,19.754,7.426,2.926,109.281,0.55,2.538,0.394,0.875,TRUE
13,1,11.019,12.43,4.187,3.351,55.673,0.896,1.249,0.8,0.974,FALSE
13,2,8.065,10.639,3.306,3.106,37.08,0.895,1.064,0.94,0.966,FALSE
13,3,10.854,12.415,4.249,3.253,67.611,0.885,1.306,0.766,0.971,FALSE
13,4,10.245,12.155,4.12,3.166,136.576,0.871,1.301,0.768,0.965,FALSE
13,5,10.229,12.215,4.156,3.134,94.108,0.861,1.326,0.754,0.961,FALSE
13,6,10.41,12.43,4.046,3.276,37.663,0.847,1.235,0.81,0.95,FALSE
13,7,8.103,10.969,4.025,2.563,138.946,0.846,1.57,0.637,0.969,FALSE
13,8,11.61,13.378,4.617,3.202,75.743,0.815,1.442,0.693,0.953,FALSE
13,9,19.836,19.104,6.06,4.167,81.76,0.683,1.454,0.688,0.913,TRUE
13,10,20.144,19.357,7.348,3.491,153.049,0.676,2.105,0.475,0.918,TRUE
13,11,14.863,16.945,5.811,3.256,164.073,0.65,1.785,0.56,0.912,TRUE
13,12,19.781,19.785,6.962,3.618,138.726,0.635,1.924,0.52,0.912,TRUE
13,13,24.34,24.528,9.701,3.195,75.942,0.508,3.037,0.329,0.889,TRUE
14,1,12.527,13.226,4.213,3.786,66.849,0.9,1.113,0.899,0.973,FALSE
14,2,6.98,9.904,3.245,2.738,27.604,0.894,1.185,0.844,0.965,FALSE
14,3,6.667,9.729,3.222,2.634,33.551,0.885,1.223,0.818,0.962,FALSE
14,4,8.167,10.915,3.758,2.767,141.281,0.861,1.358,0.736,0.964,FALSE
14,5,6.642,9.996,3.57,2.369,59.696,0.835,1.507,0.664,0.961,FALSE
14,6,8.995,11.641,4.222,2.713,79.92,0.834,1.556,0.643,0.967,FALSE
14,7,8.775,11.498,4.221,2.647,128.31,0.834,1.595,0.627,0.965,FALSE
14,8,8.877,11.688,4.338,2.605,38.371,0.816,1.665,0.6,0.965,FALSE
14,9,8.163,11.334,4.068,2.555,17.309,0.799,1.592,0.628,0.946,FALSE
14,10,8.936,12.37,4.738,2.401,134.601,0.734,1.973,0.507,0.944,FALSE
14,11,17.555,19.44,7.046,3.172,124.334,0.584,2.221,0.45,0.885,TRUE
14,12,17.276,19.316,6.019,3.655,179.992,0.582,1.647,0.607,0.886,TRUE
14,13,15.129,18.565,6.485,2.971,171.012,0.552,2.183,0.458,0.844,TRUE
14,14,16.177,19.846,7.42,2.776,128.878,0.516,2.673,0.374,0.864,TRUE
14,15,18.932,22.3,8.214,2.935,10.944,0.478,2.799,0.357,0.861,TRUE
14,16,15.02,19.938,6.41,2.983,32.191,0.475,2.148,0.465,0.807,TRUE
15,1,10.3,11.879,3.843,3.412,49.375,0.917,1.126,0.888,0.977,FALSE
15,2,11.399,12.652,4.206,3.451,54.788,0.895,1.219,0.821,0.973,FALSE
15,3,13.241,13.746,4.537,3.716,46.856,0.881,1.221,0.819,0.968,FALSE
15,4,10.414,12.354,4.391,3.02,47.327,0.857,1.454,0.688,0.97,FALSE
15,5,12.142,13.426,4.275,3.616,141.436,0.847,1.182,0.846,0.958,FALSE
15,6,9.079,11.847,4.168,2.774,109.959,0.813,1.503,0.666,0.957,FALSE
15,7,16.824,18.882,6.616,3.238,108.092,0.593,2.044,0.489,0.886,TRUE
15,8,15.51,19.072,7.364,2.682,94.108,0.536,2.746,0.364,0.868,TRUE
