Image,Cell,Area,Perimeter,Major_diameter,Minor_diameter,Angle,Circularity,Aspect_ratio,Round,Solidity,Budded
23,7,7.799,10.646,3.533,2.811,25.579,0.865,1.257,0.796,0.961,FALSE
23,8,6.971,10.325,3.274,2.711,125.818,0.822,1.208,0.828,0.937,FALSE
23,9,8.779,11.61,4.176,2.677,161.842,0.819,1.56,0.641,0.958,FALSE
23,10,6.375,10.462,4.12,1.97,100.23,0.732,2.091,0.478,0.95,FALSE
23,11,4.462,8.756,3.45,1.646,158.693,0.731,2.096,0.477,0.947,FALSE
23,12,14.652,16.714,5.104,3.655,78.196,0.659,1.397,0.716,0.912,TRUE
23,13,14.166,16.815,5.296,3.406,123.751,0.63,1.555,0.643,0.892,TRUE
23,14,4.761,10.056,2.742,2.211,16.926,0.592,1.24,0.807,0.854,TRUE
23,15,11.154,17.611,6.809,2.086,117.043,0.452,3.264,0.306,0.821,TRUE
24,1,14.099,14.091,4.653,3.858,118.847,0.892,1.206,0.829,0.974,FALSE
24,2,7.334,10.281,3.47,2.691,63.217,0.872,1.29,0.775,0.959,FALSE
24,3,8.319,11.321,3.814,2.777,56.821,0.816,1.373,0.728,0.946,FALSE
24,4,14.66,15.055,5.014,3.723,137.016,0.813,1.347,0.742,0.952,TRUE
24,5,6.54,10.348,3.142,2.651,106.025,0.768,1.185,0.844,0.936,TRUE
25,1,5.615,8.772,2.714,2.634,76.651,0.917,1.03,0.971,0.966,FALSE
25,2,10.976,12.491,4.229,3.305,135.352,0.884,1.28,0.781,0.974,FALSE
25,3,5.754,9.162,3.257,2.249,82.102,0.861,1.448,0.691,0.964,FALSE
25,4,10.49,12.453,4.39,3.042,8.299,0.85,1.443,0.693,0.969,FALSE
25,5,9.962,12.139,4.355,2.912,88.33,0.85,1.495,0.669,0.969,FALSE
25,6,8.513,11.251,4.11,2.637,92.777,0.845,1.559,0.642,0.971,FALSE
25,7,11.589,13.334,4.319,3.417,112.58,0.819,1.264,0.791,0.949,FALSE
25,8,8.822,13.898,4.786,2.347,8.271,0.574,2.039,0.49,0.871,TRUE
25,9,15.873,19.44,6.728,3.004,43.69,0.528,2.24,0.447,0.833,TRUE
26,1,8.61,10.845,3.526,3.11,163.086,0.92,1.134,0.882,0.974,FALSE
26,2,7.208,10.05,3.448,2.661,81.399,0.897,1.296,0.772,0.969,FALSE
26,3,5.585,8.886,3.054,2.329,175.435,0.889,1.311,0.763,0.966,FALSE
26,4,8.163,10.921,3.91,2.658,71.707,0.86,1.471,0.68,0.971,FALSE
26,5,5.577,9.216,3.433,2.068,61.227,0.825,1.66,0.602,0.959,FALSE
26,6,4.056,7.96,2.928,1.764,20.86,0.804,1.66,0.602,0.951,FALSE
26,7,13.051,17.221,6.414,2.591,156.35,0.553,2.476,0.404,0.884,TRUE
26,8,15.467,19.272,7.499,2.626,119.829,0.523,2.855,0.35,0.863,TRUE
26,9,12.434,17.398,6.993,2.264,49.35,0.516,3.089,0.324,0.868,TRUE
26,10,11.242,17.725,6.267,2.284,86.911,0.45,2.744,0.364,0.832,TRUE
27,1,11.052,12.285,3.83,3.675,50.45,0.92,1.042,0.959,0.976,FALSE
27,2,5.915,9.032,2.971,2.535,76.697,0.911,1.172,0.853,0.967,FALSE
27,3,7.149,10.011,3.466,2.626,95.128,0.896,1.32,0.758,0.969,FALSE
27,4,6.92,9.881,3.306,2.665,157.619,0.891,1.241,0.806,0.966,FALSE
27,5,8.454,10.953,3.639,2.958,56.967,0.886,1.23,0.813,0.966,FALSE
27,6,6.882,10.059,3.723,2.354,141.296,0.855,1.581,0.632,0.967,FALSE
27,7,7.66,10.845,3.635,2.683,105.672,0.818,1.355,0.738,0.946,FALSE
27,8,14.014,15.658,5.292,3.371,87.281,0.718,1.57,0.637,0.934,TRUE
27,9,6.916,11.327,3.153,2.793,131.994,0.677,1.129,0.886,0.881,TRUE
27,10,9.282,13.499,4.119,2.869,113.511,0.64,1.436,0.697,0.86,TRUE
27,11,17.06,20.014,7.551,2.877,117.599,0.535,2.625,0.381,0.854,TRUE
28,1,7.322,10.141,3.355,2.779,172.183,0.895,1.207,0.828,0.966,FALSE
28,2,7.968,10.585,3.512,2.889,146.943,0.894,1.216,0.823,0.969,FALSE
28,3,13.393,13.793,4.742,3.596,110.779,0.885,1.319,0.758,0.974,FALSE
28,4,8.724,11.137,3.868,2.872,116.088,0.884,1.347,0.742,0.971,FALSE
28,5,8.931,11.305,3.877,2.933,93.603,0.878,1.321,0.757,0.97,FALSE
28,6,5.949,9.231,3.052,2.482,155.484,0.877,1.23,0.813,0.958,FALSE
28,7,11.661,12.935,4.538,3.272,46.222,0.876,1.387,0.721,0.975,FALSE
28,8,6.663,9.828,3.193,2.657,57.392,0.867,1.202,0.832,0.957,FALSE
28,9,8.479,11.229,4.15,2.602,58.708,0.845,1.595,0.627,0.968,FALSE
28,10,5.936,9.491,3.572,2.116,60.013,0.828,1.688,0.592,0.964,FALSE
28,11,4.656,8.642,3.311,1.79,64.335,0.783,1.85,0.541,0.956,FALSE
29,1,4.111,7.463,2.45,2.136,103.764,0.928,1.147,0.872,0.966,FALSE
29,2,10.486,12.484,4.546,2.937,108.646,0.845,1.548,0.646,0.97,FALSE
29,3,8.289,11.175,3.984,2.649,55.375,0.834,1.504,0.665,0.958,FALSE
29,4,7.132,10.417,3.756,2.418,107.708,0.826,1.553,0.644,0.961,FALSE
29,5,9.755,13.141,4.389,2.83,168.791,0.71,1.551,0.645,0.918,TRUE
29,6,12.02,17.864,6.56,2.333,162.069,0.473,2.812,0.356,0.832,TRUE
30,1,14.449,14.221,4.804,3.83,50.543,0.898,1.254,0.797,0.977,FALSE
30,2,6.878,9.92,3.553,2.465,53.362,0.878,1.442,0.694,0.969,FALSE
30,3,7.753,10.608,3.645,2.708,160.199,0.866,1.346,0.743,0.966,FALSE
30,4,8.695,11.466,3.719,2.976,119.403,0.831,1.25,0.8,0.949,FALSE
30,5,5.429,9.298,2.968,2.329,6.297,0.789,1.274,0.785,0.924,FALSE
30,6,10.043,13.188,4.408,2.901,62.517,0.726,1.52,0.658,0.921,TRUE
30,7,14.47,16.768,4.886,3.77,75.658,0.647,1.296,0.772,0.894,TRUE
30,8,18.852,19.608,7.66,3.134,18.908,0.616,2.444,0.409,0.91,TRUE
30,9,11.378,15.521,5.639,2.569,64.293,0.593,2.195,0.456,0.883,TRUE
30,10,11.226,15.56,5.713,2.502,169.694,0.583,2.284,0.438,0.885,TRUE
30,11,16.126,19.747,7.938,2.587,34.246,0.52,3.069,0.326,0.867,TRUE
30,12,14.221,19.668,7.129,2.54,85.341,0.462,2.807,0.356,0.838,TRUE
1,1,8.67,11.083,3.753,2.941,21.587,0.887,1.276,0.784,0.967,FALSE
1,2,6.236,9.491,3.29,2.414,124.094,0.87,1.363,0.734,0.964,FALSE
1,3,9.215,12.063,3.79,3.096,134.824,0.796,1.224,0.817,0.943,FALSE
2,1,5.378,8.588,2.823,2.426,132.399,0.916,1.163,0.86,0.967,FALSE
2,2,6.604,10.05,3.106,2.707,6.175,0.822,1.147,0.872,0.938,FALSE
2,3,8.551,11.65,4.43,2.458,60.494,0.792,1.803,0.555,0.964,FALSE
2,4,9.519,13.531,4.655,2.604,146.221,0.653,1.788,0.559,0.903,TRUE
2,5,13.376,16.431,5.808,2.932,72.882,0.623,1.981,0.505,0.885,TRUE
2,6,14.268,18.66,7.365,2.467,146.087,0.515,2.986,0.335,0.851,TRUE
3,1,8.843,11.197,3.75,3.003,55.643,0.886,1.249,0.801,0.97,FALSE
3,2,4.711,8.211,2.699,2.222,179.913,0.878,1.214,0.823,0.963,FALSE
3,3,8.991,11.359,3.963,2.889,52.329,0.876,1.372,0.729,0.97,FALSE
3,4,7.094,11.549,3.091,2.922,56.793,0.668,1.058,0.945,0.865,TRUE
3,5,18.522,19.861,7.884,2.991,130.866,0.59,2.636,0.379,0.891,TRUE
4,1,15.113,16.127,5.135,3.747,108.171,0.73,1.371,0.73,0.925,TRUE
5,1,7.242,10.027,3.246,2.84,13.666,0.905,1.143,0.875,0.967,FALSE
5,2,6.591,9.698,3.413,2.458,109.7,0.881,1.388,0.72,0.968,FALSE
5,3,8.851,11.305,4.028,2.798,50.912,0.87,1.439,0.695,0.973,FALSE
5,4,9.282,11.749,4.266,2.771,62.444,0.845,1.54,0.649,0.971,FALSE
5,5,15.303,17.994,5.97,3.264,62.464,0.594,1.829,0.547,0.874,TRUE
6,1,7.482,10.119,3.208,2.969,122.649,0.918,1.08,0.926,0.97,FALSE
6,2,6.861,9.736,2.976,2.935,53.717,0.91,1.014,0.986,0.964,FALSE
6,3,13.41,14.298,4.701,3.632,37.182,0.824,1.295,0.772,0.951,FALSE
6,4,12.704,15.645,6.222,2.6,36.103,0.652,2.393,0.418,0.92,TRUE
6,5,9.705,13.715,5.006,2.468,162.106,0.648,2.029,0.493,0.892,TRUE
6,6,12.455,16.393,5.999,2.643,125.621,0.582,2.27,0.441,0.869,TRUE
7,1,10.055,11.803,3.77,3.396,120.812,0.907,1.11,0.901,0.972,FALSE
7,2,6.692,9.881,3.461,2.462,66.988,0.861,1.406,0.711,0.963,FALSE
7,3,11.8,15.629,5.648,2.66,13.852,0.607,2.124,0.471,0.892,TRUE
8,1,10.199,11.933,3.805,3.413,57.188,0.9,1.115,0.897,0.972,FALSE
8,2,9.008,11.283,3.825,2.998,122.394,0.889,1.276,0.784,0.97,FALSE
8,3,11.078,12.76,4.565,3.09,32.125,0.855,1.477,0.677,0.97,FALSE
8,4,6.511,10.072,3.804,2.179,169.369,0.807,1.745,0.573,0.958,FALSE
8,5,15.007,18.124,5.968,3.201,91.866,0.574,1.864,0.536,0.863,TRUE
8,6,5.294,12.06,4.489,1.501,177.21,0.457,2.99,0.334,0.841,TRUE
8,7,4.859,12.307,2.952,2.096,12.603,0.403,1.409,0.71,0.717,TRUE
9,1,7.689,10.401,3.616,2.708,156.692,0.893,1.335,0.749,0.972,FALSE
9,2,7.415,10.823,3.202,2.948,141.782,0.795,1.086,0.921,0.924,FALSE
9,3,9.586,14.326,4.636,2.633,152.103,0.587,1.761,0.568,0.869,TRUE
9,4,16.025,19.043,7.602,2.684,150.464,0.555,2.832,0.353,0.89,TRUE
10,1,10.444,12.415,4.306,3.088,101.363,0.852,1.394,0.717,0.96,FALSE
10,2,18.243,18.978,7.366,3.153,91.647,0.637,2.336,0.428,0.93,TRUE
10,3,12.666,15.994,5.9,2.733,12.757,0.622,2.159,0.463,0.911,TRUE
10,4,8.999,13.515,4.266,2.686,74.236,0.619,1.588,0.63,0.874,TRUE
10,5,17.559,18.911,7.233,3.091,169.866,0.617,2.34,0.427,0.912,TRUE
10,6,11.137,15.116,5.468,2.593,178.971,0.613,2.108,0.474,0.881,TRUE
10,7,21.792,23.802,9.353,2.967,119.187,0.483,3.153,0.317,0.844,TRUE
11,1,5.416,8.664,2.772,2.488,86.677,0.907,1.114,0.898,0.965,FALSE
11,2,6.773,9.751,3.283,2.627,8.488,0.895,1.25,0.8,0.968,FALSE
11,3,8.805,11.565,4.242,2.643,162.243,0.827,1.605,0.623,0.966,FALSE
11,4,9.231,12.453,4.368,2.691,12.396,0.748,1.623,0.616,0.94,TRUE
11,5,11.23,14.948,5.415,2.64,165.598,0.632,2.051,0.488,0.899,TRUE
11,6,21.365,21.805,8.253,3.296,21.364,0.565,2.504,0.399,0.88,TRUE
11,7,14.449,18.353,7.075,2.601,98.536,0.539,2.72,0.368,0.873,TRUE
12,1,8.048,10.547,3.393,3.02,169.588,0.909,1.123,0.89,0.971,FALSE
12,2,8.547,10.899,3.391,3.209,62.368,0.904,1.057,0.946,0.969,FALSE
12,3,12.071,14.732,5.22,2.944,71.119,0.699,1.773,0.564,0.912,TRUE
12,4,12.527,16.73,5.949,2.681,166.471,0.562,2.219,0.451,0.876,TRUE
13,1,12.003,18.666,6.828,2.238,0.835,0.433,3.051,0.328,0.797,TRUE
14,1,8.965,11.365,3.477,3.283,16.818,0.872,1.059,0.944,0.963,FALSE
14,2,14.5,14.596,5.222,3.535,107.939,0.855,1.477,0.677,0.969,FALSE
14,3,9.02,12.583,4.279,2.684,80.378,0.716,1.594,0.627,0.918,TRUE
14,4,4.614,10.088,3.89,1.51,155.76,0.57,2.576,0.388,0.889,TRUE
15,1,7.909,10.417,3.352,3.004,81.86,0.916,1.116,0.896,0.972,FALSE
15,2,8.116,10.585,3.455,2.991,64.271,0.91,1.155,0.865,0.971,FALSE
15,3,14.039,14.091,4.705,3.799,140.637,0.888,1.238,0.808,0.972,FALSE
15,4,9.236,13.493,4.979,2.362,6.412,0.638,2.108,0.474,0.914,TRUE
15,5,12.882,18.185,6.602,2.484,162.139,0.49,2.657,0.376,0.849,TRUE
16,1,8.344,11.191,4.016,2.645,119.171,0.837,1.518,0.659,0.965,FALSE
16,2,13.427,18.467,6.784,2.52,160.54,0.495,2.692,0.372,0.852,TRUE
16,3,14.47,20.686,7.573,2.433,21.613,0.425,3.113,0.321,0.774,TRUE
17,1,17.871,20.955,7.822,2.909,49.755,0.511,2.689,0.372,0.847,TRUE
18,1,6.688,9.751,3.406,2.5,87.965,0.884,1.362,0.734,0.966,FALSE
18,2,12.852,15.591,5.295,3.09,147.879,0.664,1.713,0.584,0.905,TRUE
18,3,15.734,18.077,6.454,3.104,8.954,0.605,2.08,0.481,0.88,TRUE
18,4,25.295,25.311,9.722,3.313,150.241,0.496,2.935,0.341,0.847,TRUE
19,1,9.591,11.92,4.173,2.926,134.672,0.848,1.426,0.701,0.962,FALSE
20,1,7.098,9.866,3.118,2.898,66.9,0.916,1.076,0.93,0.971,FALSE
20,2,10.972,12.475,4.243,3.292,51.32,0.886,1.289,0.776,0.975,FALSE
20,3,9.861,14.472,5.24,2.396,20.719,0.592,2.187,0.457,0.875,TRUE
21,1,6.346,9.406,2.872,2.813,16.667,0.901,1.021,0.979,0.962,FALSE
21,2,12.109,14.757,5.268,2.926,66.374,0.699,1.8,0.555,0.932,TRUE
21,3,13.803,17.351,6.666,2.636,32.087,0.576,2.529,0.395,0.878,TRUE
22,1,9.202,11.657,4.158,2.818,160.616,0.851,1.475,0.678,0.968,FALSE
22,2,7.41,11.381,3.502,2.695,68.477,0.719,1.3,0.769,0.927,TRUE
22,3,12.43,16.187,5.874,2.694,65.27,0.596,2.18,0.459,0.886,TRUE
23,1,14.589,14.434,4.956,3.748,86.215,0.88,1.322,0.756,0.976,FALSE
24,1,9.079,11.489,4.05,2.855,97.266,0.864,1.419,0.705,0.966,FALSE
24,2,13.697,14.282,5.099,3.42,79.517,0.844,1.491,0.671,0.966,FALSE
24,3,4.36,9.834,2.644,2.1,37.848,0.567,1.259,0.794,0.828,TRUE
24,4,9.62,15.078,5.594,2.189,148.09,0.532,2.555,0.391,0.852,TRUE
24,5,7.127,13.21,4.995,1.817,160.607,0.513,2.749,0.364,0.849,TRUE
25,1,8.496,10.937,3.694,2.928,0.486,0.893,1.261,0.793,0.969,FALSE
25,2,10.545,12.459,4.181,3.212,93.008,0.854,1.302,0.768,0.965,FALSE
25,3,8.826,11.587,4.359,2.578,8.417,0.826,1.691,0.591,0.972,FALSE
25,4,5.999,9.628,3.437,2.223,126.025,0.813,1.546,0.647,0.95,FALSE
25,5,9.088,13.968,4.961,2.333,88.396,0.585,2.127,0.47,0.882,TRUE
25,6,13.917,17.443,6.894,2.57,117.859,0.575,2.682,0.373,0.872,TRUE
26,1,8.264,11.083,3.896,2.701,170.186,0.845,1.442,0.693,0.964,FALSE
26,2,8.323,12.053,3.715,2.852,62.321,0.72,1.302,0.768,0.921,TRUE
26,3,18.294,20.543,7.471,3.118,69.359,0.545,2.397,0.417,0.861,TRUE
27,1,12.117,15.344,5.128,3.009,54.359,0.647,1.704,0.587,0.88,TRUE
27,2,13.452,18.108,6.473,2.646,111.089,0.516,2.446,0.409,0.852,TRUE
27,3,14.504,20.984,7.457,2.476,6.914,0.414,3.011,0.332,0.823,TRUE
28,1,13.178,13.679,4.693,3.575,140.472,0.885,1.313,0.762,0.975,FALSE
28,2,8.902,11.267,3.889,2.914,52.122,0.881,1.335,0.749,0.971,FALSE
28,3,13.203,17.351,6.305,2.666,156.381,0.551,2.365,0.423,0.867,TRUE
29,1,9.409,13.271,4.556,2.63,94.252,0.671,1.733,0.577,0.91,TRUE
29,2,22.033,21.146,7.59,3.696,83.431,0.619,2.054,0.487,0.913,TRUE
30,1,6.696,10.011,3.543,2.406,39.986,0.84,1.473,0.679,0.95,FALSE
30,2,17.445,18.765,6.425,3.457,28.536,0.623,1.858,0.538,0.891,TRUE
30,3,20.064,21.576,8.015,3.187,141.183,0.542,2.515,0.398,0.858,TRUE
30,4,15.941,20.565,7.567,2.682,148.5,0.474,2.821,0.354,0.821,TRUE
1,1,14.783,14.282,4.655,4.044,23.914,0.911,1.151,0.869,0.978,FALSE
2,1,10.676,12.3,4.051,3.355,39.476,0.887,1.208,0.828,0.966,FALSE
3,1,8.64,11.153,3.693,2.978,166.658,0.873,1.24,0.806,0.969,FALSE
4,1,5.915,9.859,3.895,1.934,29.705,0.765,2.014,0.496,0.952,FALSE
5,1,12.616,16.019,5.524,2.908,173.384,0.618,1.9,0.526,0.882,TRUE
6,1,6.523,9.552,3.272,2.538,125.278,0.898,1.289,0.776,0.968,FALSE
6,2,20.947,22.35,8.79,3.034,34.579,0.527,2.897,0.345,0.875,TRUE
7,1,5.459,8.68,2.767,2.511,137.5,0.91,1.102,0.908,0.964,FALSE
7,2,12.333,13.188,4.382,3.583,64.872,0.891,1.223,0.818,0.971,FALSE
7,3,11.264,12.944,4.455,3.219,43.843,0.845,1.384,0.723,0.964,FALSE
7,4,19.823,21.523,8.537,2.957,132.259,0.538,2.887,0.346,0.868,TRUE
7,5,12.113,16.961,6.252,2.467,89.224,0.529,2.534,0.395,0.847,TRUE
7,6,20.52,22.157,8.254,3.165,103.559,0.525,2.608,0.383,0.853,TRUE
8,1,14.686,14.428,4.851,3.855,14.112,0.887,1.258,0.795,0.974,FALSE
8,2,12.096,13.22,4.597,3.35,139.274,0.87,1.372,0.729,0.971,FALSE
8,3,20.385,22.043,8.715,2.978,64.289,0.527,2.927,0.342,0.857,TRUE
9,1,8.893,12.919,4.682,2.418,8.243,0.67,1.936,0.516,0.912,TRUE
10,1,17.876,20.939,7.657,2.972,135.28,0.512,2.576,0.388,0.827,TRUE
11,1,10.917,12.598,4.393,3.164,167.989,0.864,1.388,0.72,0.969,FALSE
11,2,9.882,14.878,5.307,2.371,62.416,0.561,2.239,0.447,0.879,TRUE
11,3,13.832,18.546,7.117,2.475,18.222,0.505,2.876,0.348,0.849,TRUE
12,1,15.155,19.51,7.553,2.555,59.854,0.5,2.956,0.338,0.843,TRUE
13,1,7.605,10.379,3.553,2.726,57.173,0.887,1.303,0.767,0.967,FALSE
13,2,11.678,14.688,4.19,3.549,119.14,0.68,1.181,0.847,0.894,TRUE
13,3,14.145,17.963,6.375,2.825,155.082,0.551,2.256,0.443,0.862,TRUE
14,1,19.337,21.025,8.161,3.017,83.922,0.55,2.705,0.37,0.874,TRUE
15,1,10.406,12.085,4.106,3.226,18.574,0.895,1.273,0.786,0.974,FALSE
15,2,24.513,24.138,8.933,3.494,150.388,0.529,2.557,0.391,0.839,TRUE
16,1,13.727,13.908,4.597,3.802,2.018,0.892,1.209,0.827,0.973,FALSE
16,2,19.582,22.043,8.542,2.919,62.782,0.506,2.927,0.342,0.863,TRUE
17,1,7.799,10.325,3.326,2.986,1.184,0.919,1.114,0.898,0.972,TRUE
17,2,6.397,9.46,3.271,2.49,113.721,0.898,1.314,0.761,0.971,FALSE
17,3,13.625,17.826,5.609,3.093,68.829,0.539,1.814,0.551,0.852,TRUE
18,1,11.804,13.026,4.365,3.443,12.512,0.874,1.268,0.789,0.968,FALSE
18,2,12.383,18.584,6.708,2.35,159.003,0.451,2.854,0.35,0.81,TRUE
19,1,13.642,13.838,4.634,3.748,5.562,0.895,1.236,0.809,0.977,FALSE
19,2,24.31,24.49,8.894,3.48,94.836,0.509,2.556,0.391,0.847,TRUE
20,1,7.613,10.325,3.564,2.72,165.251,0.897,1.31,0.763,0.971,FALSE
20,2,8.348,11.013,3.897,2.728,0.862,0.865,1.429,0.7,0.966,FALSE
20,3,6.071,9.621,3.59,2.153,19.045,0.824,1.667,0.6,0.962,FALSE
20,4,17.022,20.559,7.695,2.817,165.277,0.506,2.732,0.366,0.831,TRUE
21,1,17.178,20.581,7.206,3.035,157.6,0.51,2.374,0.421,0.818,TRUE
22,1,13.139,13.746,4.774,3.505,100.226,0.874,1.362,0.734,0.974,FALSE
22,2,12.945,13.87,4.896,3.367,132.628,0.846,1.454,0.688,0.969,FALSE
22,3,15.505,18.261,6.472,3.05,43.103,0.584,2.122,0.471,0.868,TRUE
22,4,10.06,14.84,5.283,2.424,147.385,0.574,2.179,0.459,0.87,TRUE
23,1,11.94,13.011,4.297,3.538,54.419,0.886,1.215,0.823,0.972,FALSE
23,2,11.754,13.08,4.334,3.453,113.343,0.863,1.255,0.797,0.97,FALSE
23,3,9.569,13.8,4.899,2.487,88.752,0.631,1.97,0.508,0.89,TRUE
24,1,8.382,10.769,3.594,2.97,168.981,0.908,1.21,0.826,0.973,FALSE
24,2,11.665,12.82,4.264,3.483,42.65,0.892,1.224,0.817,0.974,FALSE
24,3,8.294,11.105,3.967,2.662,20.779,0.845,1.491,0.671,0.962,FALSE
24,4,18.404,21.247,8.165,2.87,60.477,0.512,2.845,0.351,0.847,TRUE
25,1,10.697,12.285,4.211,3.235,9.308,0.891,1.302,0.768,0.974,FALSE
25,2,6.189,12.13,3.913,2.014,77.318,0.529,1.943,0.515,0.843,TRUE
25,3,12.899,17.604,6.492,2.53,72.08,0.523,2.566,0.39,0.853,TRUE
25,4,17.69,20.695,8.163,2.759,76.387,0.519,2.958,0.338,0.855,TRUE
26,1,9.607,11.581,3.839,3.186,175.145,0.9,1.205,0.83,0.973,FALSE
26,2,9.168,11.343,3.733,3.127,52.58,0.895,1.194,0.838,0.97,FALSE
26,3,7.415,10.325,3.594,2.627,154.327,0.874,1.368,0.731,0.966,FALSE
26,4,12.404,17.366,6.493,2.432,42.001,0.517,2.669,0.375,0.848,TRUE
27,1,6.811,9.79,3.28,2.644,170.36,0.893,1.241,0.806,0.967,FALSE
27,2,9.519,11.78,3.859,3.141,75.14,0.862,1.229,0.814,0.965,FALSE
27,3,14.551,15.024,4.874,3.801,88.909,0.81,1.282,0.78,0.956,FALSE
27,4,10.19,16.387,5.431,2.389,103.128,0.477,2.273,0.44,0.787,TRUE
28,1,12.485,13.594,4.807,3.307,28.903,0.849,1.453,0.688,0.974,FALSE
29,1,11.488,12.782,4.263,3.431,175.741,0.884,1.243,0.805,0.973,FALSE
29,2,11.766,17.848,6.819,2.197,159.172,0.464,3.103,0.322,0.818,TRUE
30,1,8.01,10.731,3.67,2.779,21.813,0.874,1.321,0.757,0.967,FALSE
30,2,7.465,10.363,3.57,2.663,6.755,0.873,1.341,0.746,0.967,FALSE
30,3,10.359,14.878,5.155,2.559,38.315,0.588,2.014,0.496,0.868,TRUE
